Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-06-25,Life of Pi,2012,https://boxd.it/4q9Vwx,3,,,2023-06-24
2023-06-26,The King of Comedy,1982,https://boxd.it/4qz2jl,4,,,2023-06-25
2023-06-27,Once Upon a Time… in Hollywood,2019,https://boxd.it/4qLBUF,3.5,,,2023-06-26
2023-06-27,Bullet Train,2022,https://boxd.it/4qONlX,4.5,,,2023-06-26
2023-06-30,Come and See,1985,https://boxd.it/4rI0uj,4.5,,,2023-06-29
2023-09-21,Good Boy,2022,https://boxd.it/4SoYaB,1.5,,,2023-09-21
2023-11-19,The Killer,2023,https://boxd.it/5bgVZh,4.5,,,2023-11-18
2023-12-15,Nocturnal Animals,2016,https://boxd.it/5kifRl,4,,,2023-12-02
2023-12-04,The Second Mother,2015,https://boxd.it/5gqwH3,4,,,2023-12-03
2023-12-04,Misery,1990,https://boxd.it/5gz5cl,4.5,,,2023-12-03
2023-12-06,Manchester by the Sea,2016,https://boxd.it/5hfNef,0.5,,,2023-12-05
2023-12-12,Being John Malkovich,1999,https://boxd.it/5jp0Or,3,,,2023-12-12
2023-12-21,Just Friends,2005,https://boxd.it/5mD7lB,2.5,,,2023-12-20
2023-12-23,My Sweet Orange Tree,2013,https://boxd.it/5nrMdD,4,,,2023-12-23
2023-12-26,A Quiet Place Part II,2020,https://boxd.it/5oYcWd,3.5,,,2023-12-26
2023-12-26,Interstellar,2014,https://boxd.it/5oYq0H,4.5,,,2023-12-26
2023-12-26,Willy's Wonderland,2021,https://boxd.it/5oYtHf,1.5,,,2023-12-26
2023-12-26,The Grand Budapest Hotel,2014,https://boxd.it/5oYyNx,4,,,2023-12-26
2023-12-26,Beau Is Afraid,2023,https://boxd.it/5oYB8R,3,,,2023-12-26
2023-12-26,Brokeback Mountain,2005,https://boxd.it/5oYDw7,4,,,2023-12-26
2023-12-27,Lars and the Real Girl,2007,https://boxd.it/5pdv37,5,,,2023-12-26
2023-12-28,The Skin I Live In,2011,https://boxd.it/5q4tpL,4.5,,,2023-12-27
2023-12-28,Leave the World Behind,2023,https://boxd.it/5q9Evl,3.5,,,2023-12-28
2023-12-30,The Secret Life of Walter Mitty,2013,https://boxd.it/5qWh4p,4,,,2023-12-29
2024-01-01,A Wolf at the Door,2013,https://boxd.it/5sbz2Z,3.5,,,2023-12-31
2024-01-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/5sBbT3,5,,,2024-01-01
