Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-06-25,Life of Pi,2012,https://boxd.it/4q9Vwx,3,,"muito doido como ele aborda religião, relacionamentos, perseverança, convivência e uma caralhada de temas num filme só. o final me pegou muito de surpresa",,2023-06-24
2023-06-26,The King of Comedy,1982,https://boxd.it/4qz2jl,4,,robert deniro so interpreta doido pqp,,2023-06-25
2023-06-27,Once Upon a Time… in Hollywood,2019,https://boxd.it/4qLBUF,3.5,,"literalmente demorei 2 meis pra terminar esse filme, a primeira 1 hora foi dificil pra mim. da metade pro final, fica muito bom. o problema é que você tem que ter um conhecimento prévio dos crimes de Charles Manson pra poder entender o fim do filme, o que é muito paia. queria ver tb uma consolidação da amizade entre o Rick e o Cliff, mas só o fato de ter essa última fala dizendo que ele é um ótimo amigo, isso já engloba muita coisa com todo o contexto do fim do filme. não é um dos melhores do tarantino, mas é um filme foda",,2023-06-26
2023-06-27,Bullet Train,2022,https://boxd.it/4qONlX,4.5,,"sensacional pra quem quer porrada, um bom roteiro e comedia. tudo se fecha certinho no final, começa ali e termina ali. confesso que queria ver mais conteúdo nesse universo.",,2023-06-26
2023-06-30,Come and See,1985,https://boxd.it/4rI0uj,4.5,,destroços de uma guerra criam um soldado destruído. a odisseia de alguém que ansiava guerra. ela veio. e ele desejou nunca ter cavado uma trincheira.,,2023-06-29
2023-09-21,Good Boy,2022,https://boxd.it/4SoYaB,1.5,,"um psicopata imbecil, um cachorro idiota e uma protagonista que pra ser burra tem que estudar muito 

pqp que protagonista burra que simplesmente faz coisas que nenhum ser humano normal faria",,2023-09-21
2023-11-19,The Killer,2023,https://boxd.it/5bgVZh,4.5,,2 horinha na mente do paiasso,,2023-11-18
2023-12-04,The Second Mother,2015,https://boxd.it/5gqwH3,4,,eu tinha escrito uma analise muito foda mas essa buceta de aplicativo apagou então só o que eu quero dizer é que cada cena que eu via o pai dando em cima da filha da empregada eu tinha vontade de arrancar minha mandíbula e enfiar no cu ✌️,,2023-12-03
2023-12-04,Misery,1990,https://boxd.it/5gz5cl,4.5,,"<b>vai colocando senhor
vai inserindo uma mulher doida na minha vida senhor bota uma conhecida senhor que é mais fácil senhor
uma mulher que me prenda na casa dela senhor
uma mulher que queira me matar porque o personagem que ela gostava do livro morreu senhor
uma mulher que me droga pra eu não conseguir voltar pra minha casa senhor
uma mulher que me force a escrever um livro na casa dela sem eu sequer poder sair do meu quarto senhor
faz uma mulher que assassina o xerife que ta me procurando senhor 
ENVIA SENHOR uma investigação discovery na minha vida




</b>",,2023-12-03
2023-12-06,Manchester by the Sea,2016,https://boxd.it/5hfNef,0.5,,"primeiramente esse é o primeiro filme incompleto que eu coloco nessa rede, mas pqp eu tentei muito ver esse filme mas é simplesmente muito chato, eu dormi todas as vezes que tentei assistir

apesar de eu entender o tema, de como lidar se a sua culpa é maior que a sua pena. tranquilo, ssgd. mas porra, tudo é muito lento, a história por mais que aconteçam coisas bem desgraçadas são tão mal executadas que não tem nem peso na trama, tlgd.

pena demais pq eu queria gostar desse filme",,2023-12-05
