Date,Name,Year,Letterboxd URI
2024-02-02,Mad God,2021,https://boxd.it/vVPm
2024-02-02,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-02-05,"Paris, Texas",1984,https://boxd.it/29Ts
2024-04-27,Memories of Murder,2003,https://boxd.it/1TSo
2024-06-13,Hour of the Star,1985,https://boxd.it/XUQ
2024-06-13,They Live,1988,https://boxd.it/20lm
2024-06-13,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2024-06-24,Amélie,2001,https://boxd.it/2aUc
2024-07-03,The Green Mile,1999,https://boxd.it/2agG
2024-07-03,Closer,2004,https://boxd.it/270K
2024-07-03,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2024-07-03,Bad Boys,1995,https://boxd.it/1XVG
2024-07-09,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2024-07-09,Dekalog,1989,https://boxd.it/bv4u
2024-07-09,Kindergarten Cop,1990,https://boxd.it/29dm
2024-07-10,Rain Man,1988,https://boxd.it/2avw
2024-07-10,Amores Perros,2000,https://boxd.it/2bfu
2024-07-10,Pusher,1996,https://boxd.it/27wG
2024-07-10,Deathgasm,2015,https://boxd.it/avNs
2024-07-10,Ichi the Killer,2001,https://boxd.it/1Y1O
2024-07-10,Seven Samurai,1954,https://boxd.it/2axi
2024-07-10,Harakiri,1962,https://boxd.it/1NTU
2024-07-10,Fist of Legend,1994,https://boxd.it/1I30
2024-07-11,Spy Kids 2: The Island of Lost Dreams,2002,https://boxd.it/1Yyo
2024-07-11,Spy Kids 3-D: Game Over,2003,https://boxd.it/1S7w
2024-07-11,Oldboy,2003,https://boxd.it/29R2
2024-07-11,Lady Vengeance,2005,https://boxd.it/248G
2024-07-11,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2024-07-11,Shaolin,2011,https://boxd.it/sb6
2024-07-11,The One-Armed Swordsman,1967,https://boxd.it/uSQ
2024-07-12,Drive My Car,2021,https://boxd.it/sv94
2024-07-13,The Devil's Advocate,1997,https://boxd.it/286k
2024-07-13,Basic Instinct,1992,https://boxd.it/2asM
2024-07-13,The Philadelphia Story,1940,https://boxd.it/29a8
2024-07-13,The Clown's Daughter,2022,https://boxd.it/CQFU
2024-07-15,We Live in Time,2024,https://boxd.it/FC5u
2024-07-15,Black Dynamite,2009,https://boxd.it/1wX6
2024-07-15,Dream Scenario,2023,https://boxd.it/v2h0
2024-07-15,Robot Dreams,2023,https://boxd.it/vBZm
2024-07-15,The Girl Next Door,2004,https://boxd.it/1VSq
2024-07-17,Prisoners,2013,https://boxd.it/4E5i
2024-07-19,Undercover Brother,2002,https://boxd.it/1S7Q
2024-07-19,Solaris,1972,https://boxd.it/2a2Y
2024-07-19,A Short Film About Love,1988,https://boxd.it/1jXC
2024-07-19,Retratos de Identificação,2014,https://boxd.it/d0l4
2024-07-19,Tarzan,1999,https://boxd.it/18YO
2024-07-21,Lady Snowblood,1973,https://boxd.it/26Fi
2024-07-22,Dune: Part Two,2024,https://boxd.it/pUfA
2024-07-24,Buffalo '66,1998,https://boxd.it/1YC6
2024-07-25,Arrival,2016,https://boxd.it/aNGk
2024-07-27,Taken 2,2012,https://boxd.it/2TWi
2024-07-27,Blade,1998,https://boxd.it/1a8A
2024-07-27,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-07-29,Die Hard 2,1990,https://boxd.it/28zw
2024-07-29,Brightburn,2019,https://boxd.it/jk58
